login,name,habit,location,time,animal
jpearl98,Julius Pearl,1,Finspång,6:43 PM,"Bear, american black"
rwhitlock99,Rafaelia Whitlock,2,Ostroróg,1:13 AM,"Monkey, vervet"
agronous9a,Anthia Gronous,3,Boston,6:45 PM,Ringtail
kcranfield9b,Karlene Cranfield,2,Tangchijie,12:50 PM,"Rabbit, eastern cottontail"
kle9c,Kacy Le - Count,3,Changgang,9:06 PM,"Camel, dromedary"
rbulley9d,Roshelle Bulley,1,Rana,1:04 PM,Black-tailed prairie dog
tbuist9e,Tuesday Buist,4,Luzhang,4:26 AM,Green-backed heron
cuttley9f,Clarinda Uttley,4,Bulawayo,1:52 PM,Racer snake
wraftery9g,Wat Raftery,2,Tsaghkahovit,2:11 PM,"Oryx, beisa"
cyair9h,Chery Yair,3,Gading,10:48 PM,Sage hen
abonsall9i,Alano Bonsall,3,Zhangxi,4:04 PM,Long-billed corella
apiperley9j,Anica Piperley,1,Krasiczyn,9:28 AM,Hummingbird (unidentified)
lrichings9k,Linus Richings,4,Uddevalla,7:54 PM,"Python, carpet"
scorton9l,Symon Corton,4,Bessonovka,3:01 AM,Green-backed heron
tcoppo9m,Tiffie Coppo,1,Zaraza,3:10 PM,"Turtle, snake-necked"
palbrook9n,Paco Albrook,2,Warungbuah,5:22 PM,Kongoni
vhubbart9o,Vicky Hubbart,4,Nawu,7:26 PM,"Phascogale, brush-tailed"
kcropton9p,Klarrisa Cropton,4,Taozhuang,9:34 AM,"Dragonfly, russian"
tpiddock9q,Tiff Piddock,3,Notre-Dame-de-l'Île-Perrot,4:44 AM,Chital
kbriereton9r,Katey Briereton,4,Postřelmov,6:23 AM,"Wombat, southern hairy-nosed"
jdeverille9s,Jeannette Deverille,3,Quatá,8:02 PM,"Lion, south american sea"
hlaundon9t,Herminia Laundon,2,Skarżysko-Kamienna,11:48 AM,Tiger
ycartmer9u,Yvon Cartmer,4,Eg,9:15 PM,Common turkey
nsavory9v,Nicky Savory,2,Katsuura,5:21 AM,"Ibis, glossy"
bstorrock9w,Barbabas Storrock,1,Biograd na Moru,4:14 AM,Northern phalarope
hkryszka9x,Hastie Kryszka,2,Sattahip,10:23 PM,Lesser masked weaver
cflageul9y,Charis Flageul,3,Bandeirantes,9:09 AM,"Admiral, indian red"
pjarrette9z,Pembroke Jarrette,4,Santa Monica,9:38 PM,"Flycatcher, tyrant"
mwardeswortha0,Maddie Wardesworth,3,Ciawitali,12:04 PM,Grey lourie
smillwatera1,Stormy Millwater,2,Hägersten,11:44 AM,"Vulture, king"
mtofpika2,Melloney Tofpik,1,Guadalupe,2:00 PM,Squirrel glider
dzapateroa3,Del Zapatero,4,Manggissari,8:47 AM,"Armadillo, seven-banded"
bcampsalla4,Bale Campsall,1,Atimonan,5:27 AM,Defassa waterbuck
dshortana5,Dosi Shortan,1,Padaran,2:42 PM,American beaver
mdraiseya6,Meris Draisey,4,Dul’durga,8:59 AM,Common langur
zlebourna7,Zorana Lebourn,2,Calvário,2:43 AM,Sun gazer
breveya8,Bettine Revey,2,Escola,2:44 PM,"Thrasher, curve-billed"
lgagesa9,Lorenzo Gages,3,Nybro,1:35 AM,"Coatimundi, white-nosed"
horthmannaa,Hale Orthmann,4,La Soledad,11:57 PM,"Bandicoot, long-nosed"
meaglandab,Marcelline Eagland,3,Albardón,1:52 PM,Pine snake (unidentified)
ekinvanac,Elisa Kinvan,4,Issad,6:21 AM,Common eland
trothertad,Tildy Rothert,1,Halden,4:38 AM,South American puma
mjewksae,Micky Jewks,4,Sabirabad,6:58 AM,White-rumped vulture
asivieraf,Abdul Sivier,3,Quimper,8:19 PM,"Goose, egyptian"
lkenwinag,Layney Kenwin,3,Petro-Slavyanka,3:13 AM,European badger
tcawsah,Tory Caws,4,Uchimaru,11:51 PM,Hudsonian godwit
ndominelliai,Nahum Dominelli,3,Kengkou,3:32 PM,"Grouse, sage"
bmcneillyaj,Betsy McNeilly,1,Montpellier,8:45 PM,"Whale, baleen"
bwheelanak,Bernete Wheelan,4,Lycksele,11:08 AM,Javanese cormorant
cgodsafeal,Celia Godsafe,4,Futang,9:11 PM,"Skink, blue-tongued"
fkiehlam,Fritz Kiehl,3,Tanudan,8:52 PM,"Antelope, roan"
cblairan,Clea Blair,2,Antopal’,1:08 AM,"Magpie, black-backed"
camiableao,Clem Amiable,3,Lérida,2:32 PM,"Hawk-eagle, crowned"
mvasentsovap,Mendy Vasentsov,2,Tursunzoda,7:56 PM,"Crow, house"
rplanqueaq,Rudd Planque,3,Teluksantong,2:02 PM,Ibex
edibenar,Eduard Diben,3,Gagarin,2:09 AM,"Wagtail, african pied"
ecopemanas,Edd Copeman,1,Zhangdun,2:27 AM,"Squirrel, grey-footed"
bfarmiloeat,Bethina Farmiloe,4,Ponte Nova,11:10 PM,Violet-crested turaco
msprossonau,Mellisa Sprosson,1,San Carlos,3:53 AM,"Nighthawk, common"
fmoxleyav,Flinn Moxley,1,Ludvika,12:04 AM,Giant girdled lizard
stolomeiaw,Sheilah Tolomei,4,Timrå,10:03 AM,Eurasian red squirrel
tkhominax,Tarra Khomin,4,Vojnić,9:26 AM,Komodo dragon
rinworthay,Rafaellle Inworth,2,Chipyela,10:58 AM,African pied wagtail
eproudlockaz,Elysee Proudlock,4,Krasnogorodskoye,12:38 AM,Alpaca
hcrowdsonb0,Hertha Crowdson,2,Huyuan,5:21 PM,"Squirrel, antelope ground"
lmeakingb1,Lindsey Meaking,1,Panyuran,10:35 PM,"Kangaroo, red"
aferruccib2,Anne Ferrucci,3,Sakule,4:54 PM,White-throated monitor
ndowreyb3,Nobie Dowrey,2,La Concepción,7:58 PM,"Phascogale, brush-tailed"
eparadineb4,Ericha Paradine,4,Ar Rawḑah,9:49 PM,Common grenadier
aheatherb5,Ash Heather,2,Riangblolong,6:02 AM,"Squirrel, smith's bush"
hsendleyb6,Hew Sendley,2,Banggel,9:26 AM,Uinta ground squirrel
lleekeb7,Lynnelle Leeke,3,Fatuhilik,5:30 PM,"Gecko, bent-toed"
gingolottib8,Gaston Ingolotti,3,Primošten,7:21 AM,Springbok
aloveladyb9,Almire Lovelady,3,Oemofa,2:31 PM,Golden-mantled ground squirrel
ekerssba,Enoch Kerss,1,Halton,11:27 PM,"Cormorant, pied"
gbridlebb,Georgeanne Bridle,1,Kalemie,11:21 PM,Red-winged blackbird
ecleimentbc,Elena Cleiment,1,Nong Bua Lamphu,1:47 PM,Common dolphin
nchalicebd,Neila Chalice,2,Sumurber,11:03 PM,"Kangaroo, western grey"
efeldmusbe,Ephrem Feldmus,2,Pristen’,4:04 AM,Frilled lizard
ppenberthybf,Padriac Penberthy,2,Bizana,10:26 AM,Prairie falcon
bboytonbg,Burton Boyton,2,Qukuhu,2:58 AM,"Stork, greater adjutant"
wlackingtonbh,Waverley Lackington,1,Qinglin,9:19 AM,Dusky gull
kshackesbybi,Kaitlynn Shackesby,2,Wailebe,2:20 PM,Common zorro
tkempbj,Trip Kemp,2,Czyżowice,2:53 PM,"Tamandua, southern"
rsavarybk,Reiko Savary,1,Ndélé,12:03 AM,Netted rock dragon
fjakoubecbl,Fredra Jakoubec,4,Surcubamba,11:42 AM,Australian spiny anteater
rosmondbm,Rudie Osmond,3,Manabo,1:01 AM,Cape clawless otter
jvilebn,Johanna Vile,4,Leigao,5:18 PM,"Kookaburra, laughing"
elearmonthbo,Emmalynn Learmonth,2,Loučovice,6:03 PM,Indian jackal
rgreenallbp,Raul Greenall,4,Tutut,10:07 AM,Bateleur eagle
fduinbletonbq,Fidole Duinbleton,3,Ādaži,9:10 PM,Greater sage grouse
vollebr,Vivien Olle,2,Mohammedia,11:13 PM,Northern elephant seal
adambrogiobs,Arny D'Ambrogio,4,Strängnäs,12:26 AM,Brown hyena
bgaulerbt,Barris Gauler,4,Xinhua,9:52 AM,"Tortoise, galapagos"
ljandourekbu,Leeanne Jandourek,2,Pakisaji,6:58 PM,Salmon pink bird eater tarantula
nchurchingbv,Neely Churching,1,Xinglong,3:39 AM,Chuckwalla
ycobellobw,Yevette Cobello,2,Bolaoit,4:47 PM,White-throated kingfisher
bhitscherbx,Brenn Hitscher,2,Chaves,5:44 AM,Red-cheeked cordon bleu
jyerillby,Johanna Yerill,2,Lagangilang,9:06 PM,Chimpanzee
agodrichbz,Ania Godrich,4,Igaraçu do Tietê,9:44 PM,Fairy penguin
ddearellc0,Dayna Dearell,3,Ponce,7:36 PM,House sparrow
swestripc1,Stanfield Westrip,4,Polonne,3:13 PM,"Lion, mountain"
lgleasanec2,Lou Gleasane,4,Manūjān,9:27 AM,Coqui francolin
kosannec3,Kelley Osanne,3,Namysłów,6:37 PM,"Heron, boat-billed"
dfreemantlec4,Dougie Freemantle,3,Sepulu,12:42 PM,Turtle (unidentified)
tcharnickc5,Tann Charnick,4,Karviná,8:01 PM,Arboral spiny rat
wkinchinc6,Warner Kinchin,1,Zhongling,11:01 PM,Tyrant flycatcher
dlissandrec7,Debbi Lissandre,2,Lamphun,2:08 AM,Spotted hyena
kdwightc8,Kipper Dwight,3,Huansheng,8:06 AM,Miner's cat
kbeetlestonec9,Karlan Beetlestone,2,Miki,12:48 PM,Little blue penguin
nconnarca,Nikoletta Connar,1,Shanghu,3:21 AM,Snake-necked turtle
fmcquiecb,Farah McQuie,3,Gonghe,2:46 PM,White-throated robin
cmeldoncc,Courtnay Meldon,2,Hovorany,4:47 PM,Desert spiny lizard
sdunningcd,Shaw Dunning,3,Al Ḩajar al Aswad,2:53 PM,"Owl, madagascar hawk"
bpachtce,Betti Pacht,4,Boden,11:34 PM,Mexican beaded lizard
mpringourcf,Minnnie Pringour,3,Järfälla,3:37 PM,"Starling, red-shouldered glossy"
lbeneycg,Lauryn Beney,4,Pinayagan Norte,4:47 PM,European red squirrel
bendch,Bank End,2,Santa Rosa de Cabal,12:15 AM,Black-capped capuchin
naldingtonci,Nerissa Aldington,4,Parreira,11:07 AM,Caribou
tpennigarcj,Tobey Pennigar,2,Guazapa,4:30 AM,"Possum, golden brush-tailed"
lthemannck,Lorrie Themann,4,Obanazawa,5:14 AM,Pallas's fish eagle
fkrellecl,Farley Krelle,1,Novovoronezh,1:52 PM,Southern brown bandicoot
earingtoncm,Emera Arington,4,Nikulino,9:14 PM,"Quoll, eastern"
ggoultercn,Gan Goulter,4,Sanshengyuan,9:30 PM,Ringtail cat
trubensco,Thatcher Rubens,4,Ljubešćica,2:57 AM,"Hawk, galapagos"
gcoltencp,Garrek Colten,3,Arevshat,8:37 PM,"Deer, roe"
memtagecq,Minnaminnie Emtage,1,Da Nang,2:55 PM,Red-breasted cockatoo
mfellowcr,Marlo Fellow,4,Wukang,7:26 AM,"Python, carpet"
pwolfercs,Pascal Wolfer,1,Ovsyanka,2:28 PM,"Alligator, mississippi"
edalgetyct,Eben Dalgety,3,Changning,6:56 AM,"Stork, european"
bstouthercu,Briano Stouther,4,Gereykhanovskoye,5:53 PM,"Falcon, prairie"
dstorkescv,Duane Storkes,2,Morón,8:22 PM,Greylag goose
dgainescw,Dierdre Gaines,3,København,2:56 PM,Roseate cockatoo
ctolputtcx,Claudell Tolputt,3,Gigant,12:54 PM,Silver-backed jackal
cgolbycy,Corrinne Golby,4,Nässjö,4:20 AM,American bighorn sheep
atierycz,Armstrong Tiery,3,Qiakeri,3:32 AM,Eurasian badger
rodelld0,Roosevelt Odell,1,Stockholm,3:41 AM,Rainbow lory
ablackwayd1,Adolph Blackway,3,Wujian,2:42 PM,Netted rock dragon
vharryd2,Vinni Harry,2,Ponte,5:54 AM,"Darter, african"
aringhamd3,Alvie Ringham,2,Maguling,3:57 AM,"Roadrunner, greater"
abreawoodd4,Arabela Breawood,1,Capulaan,2:29 AM,"Phalarope, red"
hkynvind5,Henri Kynvin,1,Blawi,6:48 AM,"Boubou, southern"
rmulcahyd6,Rowe Mulcahy,2,Reinaldes,12:51 AM,Crowned hawk-eagle
cpayled7,Costanza Payle,3,Dongzhaogezhuang,1:02 PM,River wallaby
gschildd8,Glenna Schild,4,Ondoy,1:02 PM,House sparrow
bcammocked9,Bone Cammocke,2,Cerro Blanco,11:26 PM,"Raccoon, common"
dschultheissda,Danila Schultheiss,4,Bāniyās,3:36 PM,Eastern indigo snake
ddidb,Doug Di Carlo,3,Pulau Tiga,8:35 PM,"Drongo, fork-tailed"
atrumbledc,Adrien Trumble,1,Przesmyki,10:12 AM,"Weaver, red-billed buffalo"
bteodoridd,Bernadette Teodori,3,Cojata,8:06 PM,Sockeye salmon
ehaywardde,Edin Hayward,3,Yangshuo,4:45 PM,"Squirrel, smith's bush"
dsharpedf,Darnall Sharpe,3,Feitoria,2:44 PM,Scarlet macaw
clawliedg,Corrie Lawlie,4,Askersund,6:45 PM,"Lion, california sea"
mvarlowdh,Mollie Varlow,2,El Charco,1:32 PM,"Quoll, eastern"
rviolletdi,Rosaleen Viollet,4,Vale de Figueira,11:19 AM,Western patch-nosed snake
aromagosadj,Anastassia Romagosa,3,Tirana,2:44 AM,"Hoopoe, eurasian"
dmasdindk,Doe Masdin,2,Zoushi,11:16 AM,Blackish oystercatcher
ataplowdl,Angelica Taplow,1,Xinxu,1:57 PM,South American puma
kiiannonedm,Kassia Iiannone,3,Kogota,9:58 AM,White-bellied sea eagle
abroundn,Adriana Broun,4,Irará,1:29 PM,Blue-tongued lizard
brymilldo,Bartolemo Rymill,4,Tögrög,7:56 AM,Red and blue macaw
mgerattdp,Mile Geratt,2,Aracati,4:01 PM,American beaver
jconwaydq,Jeanna Conway,1,Luleå,3:46 AM,African pied wagtail
psmidmoordr,Patin Smidmoor,4,Khondāb,10:56 AM,Black and white colobus
yrousds,Yorker Rous,1,Guacara,2:18 AM,"Squirrel, smith's bush"
ncarsondt,Nerte Carson,1,Takanosu,8:04 PM,"Owl, snowy"
dduhamdu,Dimitri Duham,2,Foundiougne,11:31 AM,Ground monitor (unidentified)
ctrenowethdv,Chev Trenoweth,1,Descalvado,12:49 AM,"Lemur, grey mouse"
tmendeldw,Tiffanie Mendel,1,Zainsk,4:18 PM,Serval
cmcluckydx,Calli McLucky,3,Quezalguaque,10:09 AM,"Tern, white-winged"
tleningdy,Trefor Lening,1,Jiyukou,3:12 PM,"Heron, gray"
sreussdz,Spenser Reuss,2,Lagodekhi,12:51 PM,Crab (unidentified)
skelceye0,Sibilla Kelcey,4,Sishiba,4:21 PM,Puku
afilipputtie1,Abbe Filipputti,3,Totora,1:10 PM,"Crane, stanley"
mketchelle2,Mella Ketchell,2,Xiadian,1:36 PM,Levaillant's barbet
plakine3,Pavla Lakin,1,Vaitape,1:50 PM,"Crane, brolga"
beckharde4,Barb Eckhard,2,Hukvaldy,8:48 PM,Ringtail cat
hskippe5,Hyacinthe Skipp,3,General La Madrid,1:46 AM,"Dog, bush"
kgreenstede6,Klarrisa Greensted,2,Villaguay,9:19 AM,"Lorikeet, scaly-breasted"
gpottee7,Gideon Potte,1,Ledok,7:24 PM,Argalis
hhumphriese8,Humfrey Humphries,1,Dawan,11:16 PM,Indian giant squirrel
ccollecotte9,Calvin Collecott,3,Jiangjing,8:18 AM,"Wombat, southern hairy-nosed"
vcorringtonea,Vernen Corrington,3,Sarilhos Grandes,8:53 PM,"Snake, racer"
pellameb,Philippe Ellam,4,Richky,11:30 AM,Lapwing (unidentified)
kmerrillec,Kev Merrill,1,Mpraeso,1:48 AM,White-browed owl
jperullied,Jeanelle Perulli,1,Ankazoabo,8:31 AM,Ring-necked pheasant
ldungeeee,Loraine Dungee,3,Burqah,11:31 PM,Canada goose
mgoodboddyef,Meredith Goodboddy,3,Gubengairlangga,1:29 PM,Tiger
lantognettieg,Lindon Antognetti,1,Zhongxiang,5:01 AM,American crow
vgoudgeeh,Von Goudge,3,Shimen,10:24 AM,"Hyena, striped"
dbonhomeei,Denny Bonhome,2,Lamawalang,3:35 PM,Canada goose
gcislandej,Gabriell Cisland,4,Baldone,6:31 AM,Red-necked wallaby
ljeandelek,Lydia Jeandel,3,Milton,1:05 PM,"Shrew, mandras tree"
talgerel,Trude Alger,2,Kangmei,4:11 AM,"Crane, sandhill"
gspellessyem,Gina Spellessy,2,Narail,1:46 AM,Southern boubou
cgilbanksen,Colas Gilbanks,3,Diavatá,3:05 AM,Black-capped chickadee
aormstoneo,Aurea Ormston,2,Opaka,12:54 AM,Red kangaroo
dcoulterep,Desiree Coulter,1,Taraju,3:28 PM,"Pintail, bahama"
lashbeeq,Loleta Ashbe,1,Viale,3:54 AM,"Tortoise, indian star"
rashtoner,Robert Ashton,4,Liuqu,7:42 AM,Bat-eared fox
sbemmentes,Silva Bemment,1,Tilmi,4:10 AM,European shelduck
lhapperet,Lester Happer,3,Ngala,7:27 PM,"Fox, arctic"
yenevoldeu,Yardley Enevold,4,Tabālah,6:07 PM,"Elephant, asian"
ltweedyev,Larry Tweedy,3,Buraen,2:37 AM,Chestnut weaver
mvaunew,Margaux Vaun,1,Jinbo,5:21 AM,"Shrike, common boubou"
cdearthex,Clim Dearth,1,Stettler,10:18 PM,Gaur
efelthamey,Evangelina Feltham,2,Tramandaí,6:32 PM,Arctic ground squirrel
hvedekhinez,Harriott Vedekhin,2,Meia Via,2:01 PM,"Sloth, hoffman's"
nmacguffogf0,Neron MacGuffog,1,Cordova,7:01 PM,"Bird, pied butcher"
raiskriggf1,Rosalie Aiskrigg,3,Midland,4:51 PM,Fork-tailed drongo
gbrownhillf2,Gerald Brownhill,1,Morez,7:27 PM,"Bleu, blue-breasted cordon"
dirnisf3,Dalila Irnis,3,Kugesi,5:49 PM,"Nutcracker, clark's"
rstandonf4,Roselle Standon,4,Cigaras,5:33 PM,"Gnu, brindled"
aelcumf5,Addia Elcum,3,Caen,3:45 AM,"Dragon, asian water"
mcutforthf6,Maighdiln Cutforth,3,Vista Hermosa,2:56 AM,Suricate
cglavef7,Corey Glave,1,Huizhou,4:56 PM,African clawless otter
cburkillf8,Carolynn Burkill,3,Mundri,4:35 AM,Koala
tferiaf9,Thomasine Feria,4,Reitoca,3:02 AM,Nelson ground squirrel
vhowfa,Viki How to preserve,4,Edéa,7:27 AM,Blue crane
sdenisyevfb,Stuart Denisyev,2,Hecun,10:47 PM,"Jackal, golden"
aelizabethfc,Ariana Elizabeth,2,Sebu,11:10 PM,American black bear
ataskerfd,Agata Tasker,3,Yufa,5:28 PM,"Macaque, rhesus"
mdallewaterfe,Mark Dallewater,2,Lemahputih,1:46 PM,Grey-footed squirrel
gmccrumff,Giraldo McCrum,4,Cibinong,6:07 AM,"Heron, striated"
ttenantfg,Tony Tenant,2,Elbasan,6:56 PM,"Lapwing, southern"
spaulischfh,Stefan Paulisch,2,Maras,11:02 AM,Horned rattlesnake
wlakeyfi,Whitby Lakey,2,San Pedro,5:03 AM,"Starling, cape"
psellickfj,Paolina Sellick,3,Longwood,11:17 PM,"Baboon, chacma"
ssnalomfk,Stormie Snalom,1,Spirovo,8:13 AM,Sun gazer
smiskenfl,Sibyl Misken,4,Rogongon,6:27 PM,Ferruginous hawk
tlakefm,Thedrick Lake,1,Viimsi,2:15 AM,"Goose, andean"
wcrasswellerfn,Waylan Crassweller,1,Ashibetsu,7:52 PM,Scaly-breasted lorikeet
dmckewfo,Dael McKew,3,São Pedro do Estoril,12:04 AM,"Kookaburra, laughing"
bjosilevichfp,Beryl Josilevich,3,Floreşti,5:40 AM,Comb duck
rficklingfq,Rita Fickling,4,Ketapang,6:00 AM,Four-spotted skimmer
htappinfr,Humfrid Tappin,4,Łapczyca,11:51 PM,Asian foreset tortoise
medgeworthfs,Martin Edgeworth,3,Heshan,4:26 AM,Black-backed magpie
amcdonnellft,Ally McDonnell,2,Kobylanka,8:17 PM,"Buffalo, african"
rmcneicefu,Ricoriki McNeice,2,Amapala,1:15 AM,Brown lemur
apuryfv,Aguste Pury,2,Pokrovskoye-Streshnëvo,10:11 AM,"Gonolek, burchell's"
bmongenotfw,Barbette Mongenot,3,Campamento,10:02 PM,Common melba finch
jdehnfx,Jackqueline Dehn,4,Xianghua,4:02 AM,Tarantula
middonsfy,Morganica Iddons,2,Joyabaj,9:00 AM,"Sloth, two-toed"
ggunthorpfz,Granger Gunthorp,2,Lantang,3:16 PM,"Partridge, coqui"
dtassakerg0,Delmore Tassaker,2,Uromi,8:34 AM,"Stork, marabou"
gcharrettg1,Gretal Charrett,3,Bordeaux,7:57 AM,Swallow (unidentified)
creinersg2,Chrissy Reiners,2,Cabinda,5:49 PM,Stone sheep
sghidottig3,Sally Ghidotti,4,Broska,6:37 PM,"Hyena, brown"
bextilg4,Baily Extil,2,Portland,11:23 PM,Large-eared bushbaby
sbeng5,Sibbie Ben,3,Tubod,3:57 PM,Black-collared barbet
mbubbingsg6,Megen Bubbings,3,Prey Veng,5:24 PM,Peregrine falcon
delmerg7,Dianne Elmer,1,Glagahdowo,12:14 AM,Cheetah
drustichg8,Dredi Rustich,2,Limbuhan,11:05 PM,"Penguin, galapagos"
fsimioneg9,Field Simione,1,Bang Phlat,2:58 AM,Snake (unidentified)
cnajafianga,Carolina Najafian,4,Venlo,1:22 PM,Sockeye salmon
aharsegb,Angelique Harse,4,Kitchener,3:55 AM,Pronghorn
gartingc,Gustavo Artin,2,Dongkeng,8:18 AM,"Squirrel, palm"
starbardgd,Shay Tarbard,4,Gontar,6:28 PM,Oriental white-backed vulture
cissacoffge,Cornall Issacoff,3,Jiulong,8:46 PM,Red-legged pademelon
aolczakgf,Alva Olczak,1,Darungan,10:16 PM,Alpaca
imilillogg,Iago Milillo,1,Yumani,2:17 AM,White-necked stork
cbaudtsgh,Carol Baudts,3,Kibondo,4:15 AM,"Seal, northern fur"
gdolesgi,Genny Doles,3,Robīt,1:39 AM,Mexican wolf
laselgj,Lacie Asel,4,Las Vegas,2:27 PM,"Robin, kalahari scrub"
pbrickettgk,Paulie Brickett,3,San Vicente,10:32 PM,Common goldeneye
acaygillgl,Arne Caygill,3,Polýkastro,11:16 AM,"Elephant, african"
mcaskeygm,Morty Caskey,3,Azua,4:10 PM,Ground monitor (unidentified)
jbirdgn,Jania Bird,3,Yong’an,4:27 AM,Dusky rattlesnake
rlangshawgo,Roy Langshaw,2,Bulupayung,7:46 PM,Ring-tailed gecko
mibbetsongp,Moss Ibbetson,1,Noyon,5:42 AM,Bahama pintail
ksandwithgq,Kale Sandwith,4,Kojagete,8:45 PM,Knob-nosed goose
awildinggr,Alain Wilding,2,Ayna,2:28 AM,Swamp deer
aminardsgs,Adella Minards,3,Baleagung,9:51 AM,Galapagos albatross
mtutchellgt,Marten Tutchell,3,Palestina de los Altos,12:57 PM,"Brocket, brown"
esouthwoodgu,Elle Southwood,2,Bremen,3:51 PM,Brolga crane
acattongv,Augusta Catton,3,Montería,4:24 AM,Horned lark
nkeerigw,Norbert Keeri,4,Al Ḩumaydāt,7:25 PM,"Kangaroo, eastern grey"
bcossellgx,Ben Cossell,4,Lesichevo,3:08 AM,"Pigeon, feral rock"
rpenrithgy,Robb Penrith,1,Casais,8:55 AM,Giant armadillo
vsudrangz,Vaclav Sudran,4,Cicayur,7:49 PM,American crow
galexandreh0,Georgeanne Alexandre,2,Philadelphia,9:25 PM,Red deer
hdeeksh1,Hester Deeks,4,Taipingxu,5:28 AM,"Seal, northern elephant"
oarnasonh2,Obadias Arnason,3,Danxi,6:41 PM,Knob-nosed goose
raldersleyh3,Rollo Aldersley,1,Shakhun’ya,6:26 AM,American alligator
jwhyborneh4,Josselyn Whyborne,1,Stockholm,12:39 PM,North American porcupine
cfritchleyh5,Cilka Fritchley,1,Villarrica,4:10 AM,"Tortoise, galapagos"
hupsaleh6,Herby Upsale,1,Candelaria,5:47 AM,"Bird, bare-faced go away"
fdeh7,Fidel De La Coste,3,Regla,11:51 AM,"Flamingo, lesser"
hmagneh8,Hube Magne,3,Maiduguri,1:32 PM,Kinkajou
cjelleyh9,Clayton Jelley,1,Villa Allende,7:43 PM,"Dolphin, common"
cludlamha,Cleve Ludlam,2,Kubanskiy,6:58 PM,Sarus crane
tegdalhb,Taffy Egdal,2,Padangcermin,9:50 AM,"Coatimundi, white-nosed"
mjacophc,Matthew Jacop,1,Talitsa,7:58 AM,"Lechwe, kafue flats"
csabatierhd,Carita Sabatier,3,Rozhnyativ,1:41 PM,"Cormorant, little"
xcleeveshe,Ximenez Cleeves,2,San Pablo,8:34 PM,"Cat, long-tailed spotted"
ibotwoodhf,Ilka Botwood,1,Mekarjaya,12:31 PM,Ground monitor (unidentified)
rmcharryhg,Ross McHarry,1,Tibillo,1:02 AM,"Coatimundi, white-nosed"
lmartignonihh,Lucille Martignoni,2,Heemstede,6:11 PM,"Tinamou, elegant crested"
eezzlehi,Emlynne Ezzle,3,Al ‘Ashshah,8:31 AM,"Kangaroo, jungle"
tboatmanhj,Trever Boatman,3,Baquero Norte,1:06 PM,Chimpanzee
jgorellihk,Joy Gorelli,4,Mora,2:16 AM,"Rattlesnake, horned"
gpeddowehl,Gabbie Peddowe,1,Sumurasin,2:53 PM,Red-legged pademelon
hmatheyhm,Hildy Mathey,2,Wisła,6:18 AM,"Snake, carpet"
lledamunhn,Lukas Ledamun,3,Ostuncalco,6:01 PM,Openbill stork
njarnellho,Nanette Jarnell,1,Mori,10:17 AM,"Otter, cape clawless"
tklousnerhp,Tabor Klousner,2,Doumen,1:48 PM,Worm snake (unidentified)
genrigohq,Gwynne Enrigo,1,Kayakent,6:06 AM,"Quoll, spotted-tailed"
nspilletthr,Nyssa Spillett,4,Itzig,7:19 PM,Bald eagle
mpudenhs,Merna Puden,3,Nakasongola,3:52 AM,White-headed vulture
tpeeryht,Tiena Peery,1,Višnjićevo,9:02 PM,Kelp gull
rbaskeyfiedhu,Rollin Baskeyfied,1,Dongping,3:28 PM,"Hyena, striped"
tofferhv,Travers Offer,3,Iksan,1:57 AM,"Bird, magnificent frigate"
linglefieldhw,Lorrie Inglefield,3,Quchanghī,7:12 PM,Two-banded monitor
cmorhallhx,Chane Morhall,2,Abbeville,4:05 AM,Gelada baboon
gchaudronhy,Gordon Chaudron,1,Tiedonglu,6:43 AM,Netted rock dragon
jwaldenhz,Julianne Walden,2,Zhengmo,3:48 AM,Horned rattlesnake
ewhykei0,Eberhard Whyke,3,Kalatongke,11:28 AM,Brazilian tapir
hbaikei1,Hali Baike,4,Klyuchevsk,8:19 PM,"Sloth, pale-throated three-toed"
glairdi2,Germain Laird,3,Chão,8:02 AM,"Wallaby, euro"
mcoburni3,Melony Coburn,2,Gaoshi,4:58 AM,"Hornbill, leadbeateri's ground"
mdarlingi4,Mike Darling,2,São Sebastião,6:59 PM,Bohor reedbuck
jdreusi5,Jehanna Dreus,2,Kunčina,11:15 PM,"Lizard, frilled"
nrameleti6,Nan Ramelet,1,Bahaodi,2:33 PM,Glossy ibis
aeliffi7,Andreana Eliff,2,Rukunlima Bawah,3:44 AM,North American river otter
dcarlowi8,Dara Carlow,1,Cergy-Pontoise,10:35 AM,"Sheep, red"
eyewdalli9,Erminie Yewdall,2,Barcelona,12:17 PM,Asian openbill
apanksia,Andromache Panks,4,Jatiprahu,12:11 PM,European stork
rtrobeyib,Ric Trobey,4,La Mohammedia,10:25 AM,"Plover, three-banded"
cwatkissic,Costanza Watkiss,1,Kyaikkami,4:02 AM,"Skunk, striped"
drhucroftid,Donielle Rhucroft,1,Wilcza,4:09 PM,Ovenbird
bfowkesie,Brook Fowkes,1,Prigrevica,2:58 AM,Gerbil (unidentified)
gkinnochif,Gwenni Kinnoch,1,Yungaisi,7:12 PM,Crested barbet
sozintsevig,Sharron Ozintsev,3,Severskaya,6:20 AM,Black-cheeked waxbill
pzellickih,Polly Zellick,4,Cunday,7:56 AM,"Tarantula, salmon pink bird eater"
laustinii,Lance Austin,3,Aconibe,4:15 PM,Sacred ibis
gpennycockij,Gerald Pennycock,3,Hexi,6:01 PM,"Crane, blue"
